title,news,index,url
"Trial for Delphi, Indiana murder suspect moved up to May",fox,1117,https://www.foxnews.com/us/trial-delphi-indiana-murder-suspect-moved-may
Dogs and cats roam free as first cageless animal shelter in US opens in Arkansas,fox,1805,https://www.foxnews.com/lifestyle/dogs-cats-roam-free-first-cageless-animal-shelter-us-opens-arkansas
Georgia Republicans readying post-election legal strategy,fox,485,https://www.foxnews.com/politics/litigation-minefield-georgia-republicans-readying-post-election-legal-strategy.print
The Vitruvi Stone Diffuser helps me fall asleep faster — and it's on sale now,nbc,3381,https://www.nbcnews.com/select/shopping/vitruvi-essential-oil-diffuser-ncna1296532
"The best alpha hydroxy acid (AHA) products and how to use them, according to dermatologists",nbc,3349,https://www.nbcnews.com/select/shopping/alpha-hydroxy-acids-ahas-ncna1234611
"Climate change made U.K. heat wave hotter and more likely, study finds",nbc,3592,https://www.nbcnews.com/news/world/climate-change-made-uk-heat-wave-hotter-likely-study-finds-rcna40680
WWE legend Hulk Hogan has Super Bowl aspirations for Lions after surprise camp visit: 'I predict greatness',fox,258,https://www.foxnews.com/sports/wwe-legend-hulk-hogan-has-super-bowl-aspirations-lions-after-surprise-camp-visit-i-predict-greatness
"Florida woman, 99, goes viral on Instagram after giving this piece of life advice",fox,386,https://www.foxnews.com/lifestyle/florida-woman-99-goes-viral-instagram-giving-piece-life-advice
New Orleans braces for drinking water emergency from drought-stricken Mississippi River,nbc,3330,https://www.nbcnews.com/science/environment/new-orleans-braces-drinking-water-emergency-drought-stricken-mississip-rcna117218
White House repeatedly dodges on if Biden thinks Netanyahu is an 'obstacle for peace:' 'Not answered 3 times',fox,1288,https://www.foxnews.com/media/white-house-repeatedly-dodges-biden-thinks-netanyahu-obstacle-peace-not-answered-3-times
Judge blocks NY AG Letitia James from trying to silence pregnancy centers that promote abortion pill reversal,fox,816,https://www.foxnews.com/politics/judge-blocks-ny-ag-letitia-james-silence-pregnancy-centers-promote-abortion-pill-reversal.print
"Israel, Hamas launch rockets, airstrikes as Gaza conflict enters second week",nbc,2345,https://www.nbcnews.com/news/world/diplomatic-efforts-ceasefire-ramp-after-strikes-claim-more-lives-israel-n1267519
Idaho man charged with threatening to kill Trump in phone calls to Mar-a-Lago,nbc,3649,https://www.nbcnews.com/politics/donald-trump/idaho-man-charged-threatening-kill-trump-phone-calls-mar-lago-rcna172374
"7 best vegetarian and vegan meal delivery services in 2024, according to experts",nbc,3802,https://www.nbcnews.com/select/shopping/best-vegetarian-vegan-meal-delivery-ncna1298934
Olivia Rodrigo reunites with rumored ex Joshua Bassett for first time since breakup hit 'Drivers License',fox,209,https://www.foxnews.com/entertainment/olivia-rodrigo-reunites-ex-joshua-bassett-drivers-license-inspiration.print
Biden campaign says it sees Florida as 'winnable' in 2024,nbc,3443,https://www.nbcnews.com/politics/2024-election/biden-campaign-florida-winnable-2024-rcna145863
Christian baker sued for refusing gender-transition cake says Supreme Court ruling puts law on his side,fox,1149,https://www.foxnews.com/politics/christian-baker-sued-refusing-gender-transition-cake-says-supreme-court-ruling-puts-law-his-side
Some ex-DOJ officials who worked for Trump fear the Supreme Court just made it easy for him to use the DOJ to attack foes,nbc,2071,https://www.nbcnews.com/investigations/trump-doj-officials-supreme-court-made-easy-trump-attack-enemies-rcna160144
"Jan. 6 committee staffers told preliminary plan for final report would focus largely on Trump, not on law enforcement failures, sources say",nbc,3439,https://www.nbcnews.com/politics/justice-department/jan-6-committee-staffers-told-preliminary-plan-final-report-focus-larg-rcna56802
How the NBC News Decision Desk projects races on general election night 2024,nbc,3460,https://www.nbcnews.com/politics/2024-election/decision-desk-projections-2024-election-how-work-rcna174116
LGBT advocate claims in House hearing ‘detransitioning’ is not ‘a real thing’,fox,596,https://www.foxnews.com/politics/lgbt-advocate-claims-house-hearing-detransitioning-not-real-thing
"‘Every day we get closer’ to normalization with Israel, Saudi crown prince says in rare interview ",nbc,2179,https://www.nbcnews.com/news/world/saudi-israel-normalization-closer-crown-prince-interview-fox-news-rcna111292
"Hundreds of rural hospitals are in danger of shutting down, study finds: ‘At risk of closure'",fox,1272,https://www.foxnews.com/health/hundreds-rural-hospitals-danger-shutting-down-study-finds-risk-closure
"App crash during Lent leads Hallow CEO to hear God say, ‘Give up and let me handle it’",fox,296,https://www.foxnews.com/lifestyle/app-crash-lent-leads-hallow-ceo-hear-god-saying-give-up-let-me-handle
Former NFL QB Jay Cutler arrested on charges of DUI and gun possession after minor crash in Tennessee,nbc,2638,https://www.nbcnews.com/news/us-news/former-nfl-qb-jay-cutler-arrested-charges-dui-gun-possession-minor-cra-rcna176111
Rachel Morin's family slams Biden-Harris for silence over her murder allegedly committed by illegal migrant,fox,507,https://www.foxnews.com/us/rachel-morins-family-slams-biden-harris-silence-over-her-murder-allegedly-committed-illegal-migrant
"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",fox,7,https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings
"Prosecutor to seek death penalty, hate crime charges in Atlanta-area spa shootings",nbc,2468,https://www.nbcnews.com/news/us-news/prosecutor-seek-death-penalty-hate-crime-charges-atlanta-area-spa-n1267019
Trump supporter charged with firing gun during Jan. 6 attack ordered detained,nbc,3241,https://www.nbcnews.com/politics/justice-department/trump-supporter-charged-firing-gun-jan-6-attack-ordered-detained-rcna143217
"Minnesota WWII veteran celebrates turning 100 years old, wishes today's young people had 'more backbone'",fox,1842,https://www.foxnews.com/lifestyle/minnesota-wwii-veteran-celebrates-turning-100-years-old-wishes-young-people-more-backbone
Modi accused of hate speech for calling Muslims 'infiltrators' at a rally days into India's election,nbc,3750,https://www.nbcnews.com/news/world/india-modi-accused-hate-speech-calling-muslims-infiltrators-rcna148916
Americans held in Iran placed under house arrest as part of a planned prisoner swap,nbc,3190,https://www.nbcnews.com/news/world/americans-imprisoned-iran-prisoner-exchange-deal-rcna99105
Afghan national living in the U.S. charged with plotting an Election Day terrorist attack,nbc,2970,https://www.nbcnews.com/politics/2024-election/afghan-national-living-us-charged-allegedly-plotting-election-day-terr-rcna174606
Emmy nominations 2024: Complete list,nbc,3083,https://www.nbcnews.com/pop-culture/pop-culture-news/emmy-nominations-2024-live-updates-rcna162133
Amazon’s bestselling women’s walking shoes for every foot type,nbc,2185,https://www.nbcnews.com/select/shopping/womens-walking-shoes-amazon-ncna1302556
Israel-Hamas war protests have disrupted Pride marches across the U.S.,nbc,3665,https://www.nbcnews.com/nbc-out/out-news/lgbtq-pride-march-israel-hamas-war-protests-rcna156595
Arizona certifies abortion-rights initiative for the November ballot,nbc,2649,https://www.nbcnews.com/politics/2024-election/arizona-certifies-abortion-rights-initiative-november-ballot-rcna166321
CNN’s ‘Reliable Sources’ with Brian Stelter draws smallest audience since 2019,fox,790,https://www.foxnews.com/media/cnn-reliable-sources-brian-stelter-smallest-audience-2019
Nelly Korda suffers unbelievable meltdown at US Women's Open with early septuple-bogey,fox,1134,https://www.foxnews.com/sports/nelly-korda-suffers-unbelievable-meltdown-us-womens-open-early-septuple-bogey
Trump defense challenges jury selection in criminal hush money trial,fox,1084,https://www.foxnews.com/politics/trump-defense-challenges-jury-selection-criminal-hush-money-trial.print
New poll reveals voters' thoughts on Kamala Harris if Biden can't finish second term,fox,1987,https://www.foxnews.com/politics/new-poll-reveals-voters-thoughts-kamala-harris-biden-cant-finish-second-term
"Migrant gang taking over Colorado apartment complex ‘not an isolated occurrence,' former resident says",fox,1808,https://www.foxnews.com/media/migrant-gang-taking-over-colorado-apartment-complex-not-isolated-occurrence-former-resident-says
"Biden administration rigged internal analysis, softening blow of power plant regulations: report",fox,1554,https://www.foxnews.com/politics/biden-admin-rigged-internal-analysis-softening-blow-power-plant-regulations-report
TikTok video at fast-food restaurant shows how speedy machine makes salad bowl in no time,fox,96,https://www.foxnews.com/food-drink/tiktok-video-fast-food-restaurant-shows-how-speedy-machine-makes-salad-bowl-no-time
Franklin Graham's Samaritan's Purse sponsors 21 ambulances in Israel to replace those destroyed by Hamas,fox,43,https://www.foxnews.com/lifestyle/franklin-grahams-samaritans-purse-sponsors-21-ambulances-israel-replace-destroyed-hamas
"On Oct. 7 anniversary, we remember this betrayal of silence",fox,1027,https://www.foxnews.com/opinion/oct-7-anniversary-we-remember-betrayal-silence.print
5 key takeaways from Kamala Harris' '60 Minutes' interview,fox,1078,https://www.foxnews.com/politics/5-key-takeaways-from-kamala-harris-60-minutes-interview.print
21 best personalized Father's Day gifts in 2022,nbc,2754,https://www.nbcnews.com/select/shopping/personalized-fathers-day-gifts-ncna1269952
"On this day in history, September 17, 1937, Abraham Lincoln carving is officially dedicated at Mount Rushmore",fox,1340,https://www.foxnews.com/lifestyle/this-day-history-september-17-1937-abraham-lincoln-carving-officially-dedicated-mount-rushmore
"Utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",fox,25,https://www.foxnews.com/us/utah-mom-kept-missing-daughter-hidden-cult-compound-months-help-from-adult-sons-prosecutors
Calls for NYC Mayor Eric Adams to resign are growing louder  ,nbc,3473,https://www.nbcnews.com/news/us-news/aoc-says-embattled-nyc-mayor-eric-adams-resign-good-city-rcna172726
Capitol security officials blame poor intelligence — and one another — for the Jan. 6 riot,nbc,2249,https://www.nbcnews.com/politics/congress/key-capitol-security-officials-be-grilled-about-what-went-wrong-n1258530
Top Senate Democrat 'angry' over Biden-Harris admin 'stonewalling' after Trump assassination attempts,fox,679,https://www.foxnews.com/politics/top-senate-democrat-angry-over-biden-harris-admin-stonewalling-after-trump-assassination-attempts
"Ozempic and other GLP-1 drugs could reduce arthritis symptoms in some, experts claim",fox,1741,https://www.foxnews.com/health/ozempic-other-glp-1-drugs-could-reduce-arthritis-symptoms-some-experts-claim
Be well: Add an egg (or 3) to your daily diet for heart health,fox,781,https://www.foxnews.com/health/be-well-add-egg-3-daily-diet-heart-health
Mark Cuban says he has 'no plans to run' for the White House in 2024,nbc,3679,https://www.nbcnews.com/politics/2024-election/mark-cuban-says-no-plans-run-white-house-2024-rcna127199
Appeals court rejects Mark Meadows’ bid to move his Georgia case out of state court,nbc,3448,https://www.nbcnews.com/politics/politics-news/appeals-court-rejects-mark-meadows-bid-move-georgia-case-state-court-rcna130058
'The View' returns with glowing endorsement of Kamala Harris' 'flawless' campaign,fox,1517,https://www.foxnews.com/media/the-view-returns-glowing-endorsement-kamala-harris-flawless-campaign.print
Palestinians say Israeli troops kill 10 in West Bank violence ,nbc,2299,https://www.nbcnews.com/news/world/palestinians-israeli-troops-kill-9-west-bank-raid-rcna67578
Vance says allegations against Mark Robinson 'aren't necessarily reality',nbc,3730,https://www.nbcnews.com/politics/2024-election/jd-vance-says-allegations-mark-robinson-arent-necessarily-reality-rcna172122
"Trump spars with Harris, moderators during heated presidential debate: 'She doesn't have a plan'",fox,1258,https://foxnews.com/politics/trump-spars-harris-moderators-during-heated-presidential-debate-doesnt-have-plan
Mike Johnson announces vote on bill to avoid government shutdown,nbc,2266,https://www.nbcnews.com/politics/congress/schumer-good-chance-avoid-government-shutdown-johnson-rcna172148
Bragg's office faces bar complaint alleging discrimination in 'diversity' hiring practices,fox,1422,https://www.foxnews.com/politics/braggs-office-faces-bar-complaint-over-alleged-discriminatory-diversity-hiring-practices
Death and heartbreak at every turn in kibbutz near Gaza that was ambushed by Hamas ,nbc,3577,https://www.nbcnews.com/news/world/death-heartbreak-every-turn-kibbutz-gaza-was-ambushed-hamas-rcna119975
Why Americans need more face-to-face civil discussions 'with folks outside their own bubble',fox,67,https://www.foxnews.com/lifestyle/americans-need-face-face-civil-discussions-folks-outside-bubble.print
"Iran is helping the Houthi rebels in Yemen target and down U.S. Reaper drones, U.S. officials say",nbc,2628,https://www.nbcnews.com/investigations/iran-helping-houthi-rebels-yemen-target-us-reaper-drones-us-officials-rcna171834
Class Destroyed,nbc,2672,https://www.nbcnews.com/specials/gaza-universities-destroyed-israel-military-war/index.html
Liberal dark money network hauled in more than $1.5B in anonymous donations for left-wing causes in 2021,fox,1897,https://www.foxnews.com/politics/liberal-dark-money-network-hauled-1-5b-anonymous-donations-left-wing-causes-2021
"NYC migrants consume drugs, alcohol in public as 'crime wave' plagues tourist hot spot",fox,1211,https://www.foxnews.com/us/nyc-migrants-consume-drugs-alcohol-public-crime-wave-plagues-tourist-hot-spot.print
Retired commander who oversaw Afghanistan withdrawal says he alone bears responsibility for airport attack ,nbc,2321,https://www.nbcnews.com/politics/congress/retired-commander-oversaw-afghanistan-withdrawal-says-alone-bears-resp-rcna144094
'Star Wars' actress Carrie Fisher honored with star on Hollywood Walk of Fame amid family drama,fox,31,https://www.foxnews.com/entertainment/star-wars-actress-carrie-fisher-honored-star-hollywood-walk-of-fame-amid-family-drama
'Rot and decay': Rep Hank Johnson argues SCOTUS term limits are path forward for removing 'corrupt' justices,fox,1717,https://www.foxnews.com/politics/rot-decay-rep-hank-johnson-argues-scotus-term-limits-path-forward-removing-corrupt-justices
Trump reveals which US rival will be his first phone call if re-elected,fox,1910,https://www.foxnews.com/politics/trump-reveals-which-us-rival-his-first-phone-call-re-elected.print
11 best weighted blankets and weighted comforters of the year,nbc,2759,https://www.nbcnews.com/select/shopping/best-weighted-comforters-weighted-blankets-ncna1193596
Key Pennsylvania region sees ‘waitlist’ for Trump signs; lawmaker says voters ready to reverse Dem policies,fox,1826,https://www.foxnews.com/politics/key-pa-region-sees-waitlist-trump-signs-lawmaker-says-voters-ready-reverse-dem-policies.print
Hurricane chaser in Florida says Milton prompted 'race' for residents to evacuate,fox,610,https://www.foxnews.com/travel/hurricane-chaser-florida-says-milton-prompted-race-residents-evacuate
Rogan says Dems are terrified criticizing Biden will 'empower' Trump so they're 'just lying to everyone',fox,1309,https://www.foxnews.com/media/rogan-says-dems-terrified-criticizing-biden-empower-trump-so-theyre-just-lying-everyone
Healthy living habits include eating dinner earlier — it may also help keep weight down,fox,570,https://www.foxnews.com/health/healthy-living-habits-eating-dinner-earlier-may-help-weight.print
Sarah McBride’s historic run for Congress was decades in the making,nbc,3519,https://www.nbcnews.com/nbc-out/out-politics-and-policy/sarah-mcbride-congress-election-race-trans-lgbtq-rcna164773
"Record-breaking roller coasters that are the highest, fastest, longest, steepest, most expensive in the US",fox,343,https://www.foxnews.com/travel/us-record-breaking-roller-coasters
Best portable air conditioners under $400 to help you beat the heat,nbc,2037,https://www.nbcnews.com/select/shopping/affordable-portable-air-conditioners-ncna1266638
FOX Nation unveils veteran-themed content to commemorate Memorial Day,fox,1728,https://www.foxnews.com/media/fox-nation-veteran-memorial-day
USA Powerlifting applauds appeals court decision after transgender woman claimed discrimination,fox,678,https://www.foxnews.com/politics/usa-powerlifting-applauds-appeals-court-decision-after-transgender-woman-claimed-discrimination
5 little-known facts about Thanksgiving turkey from registered dieticians,fox,1499,https://www.foxnews.com/lifestyle/5-little-known-facts-thanksgiving-turkey-registered-dieticians
"Biden blasts Alabama Supreme Court's IVF ruling as Harris, campaign blame Trump",nbc,2895,https://www.nbcnews.com/politics/2024-election/biden-campaign-blames-trump-alabama-supreme-courts-ivf-ruling-rcna139984
"Trump safe after suspect in apparent assassination attempt is arrested; officials say he had semi-automatic rifle, scope and GoPro",nbc,3683,https://www.nbcnews.com/politics/donald-trump/trump-campaign-says-former-president-safe-possible-gunshots-vicinity-rcna171206
'There was no hoax': Jussie Smollett denies attack was staged during testimony ,nbc,2378,https://www.nbcnews.com/news/us-news/jussie-smollett-testifies-criminal-trial-rcna7710
Trends are good in the swing county GOP chair calls ‘Little Pennsylvania’: It’ll ‘be a repeat of ‘16’,fox,883,https://www.foxnews.com/politics/trends-good-swing-county-gop-chair-calls-little-pennsylvania-itll-be-repeat-16.print
Arizona abortion rights group secures signatures for 2024 ballot referendum,fox,1833,https://www.foxnews.com/politics/arizona-abortion-rights-group-secures-signatures-2024-ballot-referendum.print
Transgender athlete defeated by woman competitor at major UK competition championship in epic comeback,fox,56,https://www.foxnews.com/sports/transgender-athlete-defeated-woman-competitor-major-uk-competition-championship-epic-comeback.print
Fox News Poll: Harris closes gap with Trump in Sun Belt states,fox,1106,https://www.foxnews.com/official-polls/fox-news-poll-harris-closes-gap-trump-sun-belt-states.print
Focus group reacts to Trump claim that migrants are 'eating the dogs' in Ohio town,fox,1962,https://www.foxnews.com/politics/focus-group-reacts-trump-claim-migrants-eating-dogs-ohio-town
Trump says presidential civilian award is 'better' than top military honor whose recipients are 'dead' or 'hit' by bullets,nbc,3803,https://www.nbcnews.com/politics/2024-election/trump-says-presidential-civilian-award-better-top-military-honor-whose-rcna166855
'An absolute disgrace': Senate Republicans condemn Palestinian Authority's UN bid to undermine Israel,fox,1829,https://www.foxnews.com/politics/an-absolute-disgrace-senate-republicans-condemn-palestinian-authoritys-un-bid-undermine-israel
"In major setback for Trump, appeals court ends special master's review of seized Mar-a-Lago records",nbc,2473,https://www.nbcnews.com/politics/donald-trump/major-setback-trump-appeals-court-ends-special-masters-review-seized-m-rcna59714
Israel bans UN secretary-general over anti-Israel actions: 'Doesn't deserve to set foot on Israeli soil',fox,1644,https://www.foxnews.com/world/israel-bans-un-secretary-general-over-anti-israel-actions-doesnt-deserve-set-foot-israeli-soil
"Trump assassination attempt: Butler, Pennsylvania town manager defends police amid response 'misconception'",fox,576,https://www.foxnews.com/us/trump-assassination-attempt-butler-pennsylvania-town-manager-defends-police-amid-response-misconception
29+ problem-solving Amazon kitchen gadgets that home chefs will find useful,nbc,2281,https://www.nbcnews.com/select/shopping/bestselling-amazon-kitchen-gadgets-ncna1303057
CNN's Dana Bash argues DNC appeals to men who are not so 'testosterone-laden',fox,1213,https://www.foxnews.com/media/cnns-dana-bash-argues-dnc-appeals-men-who-not-so-testosterone-laden.print
How Easyplant's self-watering pots take the hassle out of indoor plant maintenance,nbc,2607,https://www.nbcnews.com/select/shopping/easyplant-self-watering-pots-ncna1296816
What is the 'Philadelphi corridor' and why is it a sticking point in Israel-Hamas talks?,nbc,2400,https://www.nbcnews.com/news/world/philadelphi-corridor-explainer-israel-hamas-talks-cease-fire-gaza-rcna169274
Nebraska GOP senator opposes Electoral College change that may have helped Trump win re-election,fox,528,https://www.foxnews.com/politics/nebraska-gop-senator-opposes-electoral-college-change-may-have-helped-trump-win-re-election
"Bruce Willis' daughter Tallulah gets emotional over photos with dad, 'my whole damn heart'",fox,176,https://www.foxnews.com/entertainment/bruce-willis-daughter-tallulah-gets-emotional-photos-dad-my-whole-damn-heart
Secret Service told locals they would ‘take care of’ building used by Thomas Crooks to shoot Trump,fox,1627,https://www.foxnews.com/politics/secret-service-told-locals-would-take-care-of-building-crooks-shot-trump-from
"Educators warn of antisemitic ‘outbreak’ on college campuses, denounce ‘tone deafness’ of faculty and students",fox,422,https://www.foxnews.com/media/educators-warn-antisemitic-outbreak-college-campuses-tone-deafness-faculty-students
Ellen DeGeneres reveals 3 health diagnoses after 'excruciating pain': 'I could disintegrate in the shower',fox,680,https://www.foxnews.com/entertainment/ellen-degeneres-reveals-3-recent-health-diagnoses
"Anne Frank's Nazi arrest in Amsterdam may have stemmed from Jewish businessman's tip, book claims",fox,1726,https://www.foxnews.com/world/cold-case-team-may-know-betrayed-anne-frank
Back to the Cold War: Russia uses Mexico as a hub for spying on the U.S.,nbc,2589,https://www.nbcnews.com/investigations/cold-war-russia-uses-mexico-hub-spying-us-rcna171819
Bowman takes a swipe at Hillary Clinton after she backs his opponent: 'Wouldn't call that a major endorsement',fox,1454,https://www.foxnews.com/media/bowman-takes-swipe-hillary-clinton-after-she-backs-his-opponent-wouldnt-call-major-endorsement
Republicans up the personal attacks on Biden and his family,nbc,2880,https://www.nbcnews.com/politics/joe-biden/republicans-personal-attacks-biden-family-granddaughter-grandkid-rcna95667
Cher to hit Victoria's Secret runway after casting controversy,fox,572,https://www.foxnews.com/entertainment/cher-hit-victorias-secret-runway-after-casting-controversy
"Ravens fan seen in viral fight video identified, warrant issued for arrest, police say",fox,985,https://www.foxnews.com/sports/ravens-fan-seen-viral-fight-video-identified-has-warrant-issued-arrest-police-say.print
"What to know about Bluesky, the Twitter alternative that some celebrities and journalists are joining",nbc,2189,https://www.nbcnews.com/tech/tech-news/bluesky-social-twitter-rival-jack-dorsey-what-to-know-rcna81972
Transgender high school volleyball player appears to feature spike that injured opponent in highlight reel,fox,288,https://www.foxnews.com/sports/transgender-high-school-volleyball-player-appears-feature-spike-injured-opponent-highlight-reel.print
Russia’s 2024 election interference has already begun,nbc,3746,https://www.nbcnews.com/news/investigations/russias-2024-election-interference-already-begun-rcna134204
Former Fox News host Tucker Carlson interviewed Russian President Vladimir Putin,nbc,2510,https://www.nbcnews.com/news/world/tucker-carlson-interviewed-russian-president-vladimir-putin-rcna137420
Thomas Jefferson statue's removal from New York City Hall a 'disgrace': Douglas Murray,fox,1391,https://www.foxnews.com/media/thomas-jefferson-statues-removal-from-new-york-city-hall-a-disgrace-douglas-murray
"Ryan Routh, armed man arrested at Trump golf course, posted prolifically about Trump, politics",fox,1960,https://www.foxnews.com/politics/ryan-routh-armed-man-arrested-trump-golf-course-posted-prolifically-about-trump-politics
Israeli spokesman's shocked face goes viral over bizarre question about hostage deal: 'Left me speechless',fox,1476,https://www.foxnews.com/media/israeli-spokesmans-shocked-face-viral-bizarre-question-about-hostage-deal-left-speechless
Kamala Harris and the southern border crisis: A timeline,fox,1263,https://www.foxnews.com/politics/kamala-harris-border-crisis-timeline.print
'Extreme agenda': Harris’ past record on illegal immigration resurfaces after Biden drops out,fox,177,https://www.foxnews.com/politics/extreme-agenda-harris-past-record-illegal-immigration-resurfaces-after-biden-drops-out.print
'It'll upend the community': PA town roiled by talk of migrant housing in Civil War-era orphanage building,fox,1042,https://www.foxnews.com/politics/itll-upend-community-pa-town-roiled-talk-migrant-housing-civil-war-era-orphanage-building.print
Rep. Matt Gaetz defeats Kevin McCarthy-backed GOP primary challenger,nbc,3001,https://www.nbcnews.com/politics/2024-election/matt-gaetz-florida-primary-house-aaron-dimmock-rcna167141
Illegal immigrant suspected in Maryland mom Rachel Morin's murder faces maximum penalty if convicted,fox,1569,https://www.foxnews.com/us/illegal-immigrant-suspected-maryland-mom-rachel-morins-murder-faces-maximum-penalty-convicted
"On this day in history, May 12, 1965, Rolling Stones record 'Satisfaction' after Keith Richards dreamed a riff",fox,907,https://www.foxnews.com/lifestyle/this-day-history-may-12-1965-rolling-stones-record-satisfaction-keith-richards-dreamed-riff
Jewish Americans on edge amid growing anti-Israel hostility: 'Coordinated effort',fox,1744,https://www.foxnews.com/politics/jewish-americans-on-edge-amid-growing-anti-israel-hostility-coordinated-effort
BTS star Jin begins military service in South Korea,nbc,2953,https://www.nbcnews.com/news/world/bts-star-jin-begins-military-service-south-korea-rcna61406
"Virginia head coach Tony Bennett suddenly retiring, just weeks before season starts",fox,1532,https://www.foxnews.com/sports/virginia-head-coach-tony-bennett-suddenly-retiring-just-weeks-before-season-starts
Russia transfers heavy military equipment to Crimea as fighting intensifies in Donetsk,fox,370,https://www.foxnews.com/world/russia-transfers-heavy-military-equipment-crimea-fighting-intensifies-donetsk
