title,news
"Opinion | Trump's Title X rule, like state abortion restrictions, targets poor women",nbc
How to overcome these common workout fears — and finally lose weight,nbc
#GoodNewsRUHLES: Ellen Degeneres defends friendship with George W. Bush,nbc
Wendy's is bringing back spicy chicken nuggets sooner than expected,nbc
"Mario Batali, accused by multiple women of sexual misconduct, no longer has stake in Eataly",nbc
Beto O'Rourke says El Paso visit shows Trump is 'sick' and 'unfit' for presidency,nbc
"Mueller: the President could be charged. TRANSCRIPT: 7/25/19, The Last Word w/ Lawrence O'Donnell.",nbc
I tried Joanna Gaines’ favorite $4 eyeliner — and I’m obsessed,nbc
Swarms of grasshoppers invading Las Vegas strip,nbc
Fox ordered to pay $179 million to 'Bones' participants,nbc
Opinion | Why Democrats' court-packing plan will backfire,nbc
"Mueller testifies Trump misled probe.  TRANSCRIPT: 7/24/19, All In w/ Chris Hayes.",nbc
Prosecutors seek 7 to 9 years in prison for Trump ally Roger Stone,nbc
Minda Harts: 5 big challenges women of color face in securing a seat at the table,nbc
"Trump says shutdown will last ""as long as it takes"". TRANSCRIPT: 1/2/19, The Beat w/ Ari Melber.",nbc
"Amy Klobuchar interview. TRANSCRIPT: 7/18/19, The Rachel Maddow Show.",nbc
"The more abortion rights are threatened, the more Americans support them",nbc
White House trying to distance Trump from video showing his likeness attacking the news media,nbc
Trump adds (yet another) Fox News figure to his team,nbc
SeaWorld San Diego guests stranded on stalled gondola ride for hours,nbc
Kathie Lee Gifford honors husband Frank on 4th anniversary of his death,nbc
Want to live longer? Eating a lot of this nutrient helps,nbc
Did a N.J. man get duped into buying $100K in bogus sports memorabilia?,nbc
Einstein showed Newton was wrong about gravity. Now scientists are coming for Einstein.,nbc
"Winter storm blasts Europe; 13 dead amid heavy snow, gusts",nbc
Daveed Diggs on his new play and the ‘Hamilton’ cast’s group text,nbc
Pregnant TV meteorologist calls out body-shamers: 'My weight gain is normal',nbc
"Jeffrey Epstein charged. TRANSCRIPT: 7/8/19, The Last Word w/ Lawrence O'Donnell.",nbc
4 hottest hair trends that'll dominate 2019,nbc
"Trump unleashes attack on Twitter. TRANSCRIPT: 8/23/19, The 11th Hour w/ Brian Williams.",nbc
Epstein victim drops her lawsuit against lawyer Alan Dershowitz,nbc
Anchors check in on their complaint cleanse,nbc
Ghostwriter says Trump reportedly lost $1B because he had ‘no talent’,nbc
Actor Luis Guzman: Governor Rossello ‘has got to go’,nbc
Zeppelins stopped flying after the Hindenburg disaster. Now scientists want to bring them back.,nbc
McConnell tries to defend himself from 'Moscow Mitch' criticisms,nbc
Marriott banning little shampoo bottles by 2020,nbc
Kentucky clerk Kim Davis may have hefty legal bill in gay marriage case,nbc
Cash for curtains? Investigation over Boris Johnson's apartment,nbc
From the archives: ‘Unite the Right’ rally in Charlottesville,nbc
Faithless elector: A court ruling just changed how we pick our president,nbc
Woman found dead in North Carolina home explosion,nbc
R. Kelly could face new investigations as accusers urged to come forward,nbc
'Seinfeld' actor Steve Hytner talks Bania's best lines,nbc
Doctor saves fellow hockey player who has heart attack during game,nbc
Dylan Dreyer reveals she was once a stock-photo model in high school,nbc
Celebrity chef José Andrés to help feed federal workers furloughed by shutdown,nbc
Nursing home staffers accused of taunting 91-year-old dementia patient in Snapchat video,nbc
Kevin Hart says being fired as 2019 Oscars host was ‘necessary and needed’,nbc
"Trump envoy: U.S., Taliban peace talks yield draft deal on 2 issues",nbc
Lilly Ledbetter: 5 ways to ensure you get equal pay,nbc
Car owner kills teen suspect during attempted theft. Five other Chicago teens now face murder.,nbc
"FBI arrests Las Vegas man who allegedly wanted to shoot Jews, LGBTQ bar patrons",nbc
"Here's why almost 170,000 Valentine's Day texts arrived nine months late",nbc
Mandy Moore describes marriage to Ryan Adams: 'I felt like I was drowning',nbc
Britney Spears says she’s now on ‘the right medication’ following conservatorship,nbc
Andy Cohen describes seeing son Benny for the 1st time,nbc
Chick-fil-A is bringing back a beloved spicy menu item — with a twist,nbc
GOP lawmaker under fire after calling LGBTQ groups 'modern day' KKK,nbc
Europe grapples with distinction between refugees and economic migrants,nbc
GOP Strategist: 'McConnell is a disgrace' for not condemning Trump comments,nbc
Nearly three dozen people trapped for days in collapsed gold mine in Indonesia,nbc
"Opinion | New ""Spider-Man"" gives fans what they want — but asks some tough questions, too",nbc
Brexit flags and protests bring party-like atmosphere to Parliament,nbc
Have you seen these men? Search is on for gay couple denied 1957 wedding pics,nbc
Want to try out plant-based meat? Here are our top 10 product picks,nbc
‘It’s child abuse!’ Dems blast Trump’s ‘kids in cages’ policy,nbc
"Post-Marie Kondo purge, here's what to do with that unwanted stuff",nbc
Katie Gray and Kurt Baumann sing ‘Time’ live on TODAY,nbc
Everything you need to know ahead of a government shutdown,nbc
This group is defaulting on their student loans intentionally,nbc
Woman’s brain surgery broadcast live to thousands of people,nbc
"Why Trump is trying to oust Maduro from Venezuela, but not other global dictators",nbc
"Mueller indicts Roger Stone. TRANSCRIPT: 1/25/2019, The Beat w. Ari Melber.",nbc
"Ms., Mr., or Mx.? Nonbinary teachers embrace gender-neutral honorific",nbc
"Toxic metals in baby food more widespread than thought, new study shows",nbc
Jenna Bush Hager reveals June book club pick,nbc
Beto O'Rourke says his family's ancestors owned slaves,nbc
"Jeff Kinney reveals ‘Diary of an Awesome, Friendly Kid’ book cover",nbc
Could the ‘milkman model’ be the next wave in business?,nbc
Drought exposes long-submerged 'Spanish Stonehenge' monument,nbc
BREAKING: Kamala Harris drops out of 2020 presidential race,nbc
"Steel prototype for border wall cut through with saw, photo shows",nbc
Family of toddler who fell off Royal Caribbean ship says cruise line is to blame,nbc
"Inspired by her daughter, this first-time author is shining a light on LGBT Muslim teen experiences",nbc
‘Jett’ star Carla Gugino on her fierce character and working with her partner,nbc
Florida Republicans move to limit felon voting rights despite constitutional amendment,nbc
Trump ally Roger Stone's trial to start this week,nbc
"TODAY's Headlines: July 19, 2019",nbc
"Opinion | New ""Stranger Things"" is growing up and pushing the boundaries that limit it",nbc
Bluefin goes for $3 million at 1st 2019 sale at Tokyo market,nbc
Inslee: “Strong possibility” of a climate-focused debate,nbc
This is Serena Williams' mission off the tennis court,nbc
Actor Miles Teller says he was attacked in a bathroom while on vacation in Hawaii,nbc
House committee subpoenas Trump's envoy on Taliban talks,nbc
Mama Cax: What losing a leg taught me about beauty,nbc
The 2020 candidate that no one has heard of,nbc
Lawrence and Rachel on 'Anonymous' book: ‘This is a warning about danger to the country’,nbc
Ariana Grande's hairstylist shares a rare glimpse of her natural curls,nbc
See this playroom go from dull to delightful after a major makeover,nbc
Man who killed mountain lion during attack tells how he survived,nbc
Huge oil refinery leaks toxic chemical in South Philadelphia,nbc
Women who inspire: Leading through a pandemic,nbc
A different kind of force—Policing mental illness: Part 1,nbc
Yosemite tourist falls to death after slipping near waterfall,nbc
Watch Courteney Cox perfectly re-create famous line from 'Friends',nbc
Pete Williams breaks down conflicting reports surrounding suspect in high school shooting,nbc
Lizzo’s tiny purse was the biggest thing on the AMAs red carpet,nbc
2 people miraculously rescued after plane plummets into ocean — see the video,nbc
Four teens charged in attack on lesbian couple on London bus,nbc
Don’t blow your next job interview with these 5 classic mistakes,nbc
Algorithms learn from us — we can be better teachers,nbc
Trump holds off on declaring emergency to build border wall,nbc
Army veteran becomes oldest college football player,nbc
"Migrant families still being separated at the border, report says",nbc
"Osama Bin Laden’s son and heir dead, officials say",nbc
"Sen. Collins' Democratic rival portrays her in debate as in pocket of Trump, McConnell",nbc
Louisiana police officer fired after suggesting AOC should be shot,nbc
Divers snap breathtaking photo of a human-sized jellyfish,nbc
"AOC on Trump’s comments, tweets: ‘This is all a distraction’",nbc
Privacy-first browsers look to take the shine off Google's Chrome,nbc
Opinion | Amazon’s counterfeit sales risk a crackdown by regulators. Good.,nbc
The top baby names of 2019 are here and there's a royal twist,nbc
CBS and Viacom merge to form $30 billion media company,nbc
"Farmers: Trump's trade war leaves industry 'worse, not better'",nbc
Angels pitcker Tyler Skaggs died with fentanyl and oxycodone in system,nbc
Flashback: Andre Previn talks Hollywood musicals on TODAY in 1991,nbc
Why the pay gap for black women isn’t shrinking fast enough,nbc
YouTube star dies in tragic accident at age 35,nbc
"Puerto Rico's Senate, San Juan mayor challenge new governor's legitimacy in court",nbc
Tia and Tamera Mowry pay tribute to their late grandmother with touching photos,nbc
Aliens didn't create this weird swirling disk in a Maine river. Here's what did.,nbc
N.Y. attorney general developing 'long' list of Trump actions for Biden to undo,nbc
To Regulate or Not to Regulate,nbc
'Beyond my purview’: Watch Mueller dodge lawmakers’ probing,nbc
Watchdog: I can't probe Kushner security clearance till Trump asks,nbc
Meghan Markle's sparkly dress was a throwback to a pre-royal look,nbc
Exclusive first look: ‘A Little Late with Lilly Singh’,nbc
$1.5 trillion tax cut had no major impact on business spending,nbc
Local TV giant Sinclair Broadcast Group launches free streaming bundle,nbc
"Trump says he knows how North Korea's Kim is doing, 'relatively speaking'",nbc
‘Brady Bunch’ star hits back after episode fuels critics of measles vaccine,nbc
Opinion | Stop trying to convince Kim Jong Un to give up his nukes,nbc
"Dustin Lance Black talks about his inspiring memoir, ‘Mama’s Boy’",nbc
Could sexual harassment allegations against 2016 staffer derail Bernie 2020 bid?,nbc
Paul Manafort will be allowed to wear a suit to court Friday,nbc
"Trump meets Kim Jong Un, steps into North Korea",nbc
Black man in hospital gown with IV arrested outside Illinois hospital,nbc
"Jailed suspect in plot to overthrow Venezuelan president Maduro blames Colombia, Guaidó",nbc
Are you making these common strength training mistakes? Here's how to fix them.,nbc
European leaders join Macron for Bastille Day parade,nbc
Cosmo Editor-in-Chief: gender is not a 'deciding factor' in 2020,nbc
Brad Pitt and Leonardo DiCaprio share a laugh about their ‘Growing Pains’ days,nbc
Why knitting can lead to more mindfulness,nbc
"Howard Schultz says he's not a Democrat, surprised by party backlash to a run",nbc
Record shows close Donald Trump relationship with Jeffrey Epstein,nbc
Treadmill studios offer a new way to run (and train) indoors,nbc
Government shutdown stops FDA food safety inspections,nbc
Mayor in Poland dies after being stabbed in the heart on stage,nbc
John Mulaney's ex Anna Marie Tendler to release memoir about 'heartbreak and rage' 3 years after split,nbc
Opinion | America is a not a tank country. Trump's misguided spectacle tried to make it one.,nbc
Young Iranians are social media savvy despite government bans,nbc
Jury begins deliberating in deadly 'Ghost Ship' warehouse fire trial,nbc
"Over 100K sign petition to spare the life of dog that bit 4-year-old, cutting off his arm",nbc
Curtis Martin didn’t particularly like playing football – but went on to dominate the NFL anyway (Part 2),nbc
"Ed Smart, father of kidnapping survivor Elizabeth Smart, announces he is gay",nbc
"Trump heads to G7 summit. TRANSCRIPT: 8/23/19, The Last Word w/ Lawrence O'Donnell.",nbc
'They don't want him back': Inside Joe Arpaio's long shot comeback attempt,nbc
'Danger line': North Korea says U.S. is inciting military tension,nbc
"Cyntoia Brown, behind bars since 16, walks free: What we know about her case",nbc
'Home Work’ hosts say they are 'not OK' after show was pulled from Magnolia Network,nbc
"Julian Castro interview. TRANSCRIPT: 7/18/19, The Last Word w/ Lawrence O'Donnell.",nbc
The most popular pasta salad of the summer has a surprising secret ingredient,nbc
Parents sue school district for coloring son's head with a Sharpie,nbc
Job growth came to an unexpected halt in February,nbc
Colin Powell's important message about kindness after roadside help from disabled vet,nbc
Serbian PM's same-sex partner gives birth to baby boy,nbc
Bernie Sanders staff shake-up: Top strategists leave his presidential campaign,nbc
El Paso doctor on treating shooting victims: ‘It’s a challenge’,nbc
Summer outfit ideas for your next party,nbc
BET's new series 'Boomerang' is a sequel striving to be original,nbc
"Microsoft tests four-day workweek, productivity soars 40 percent",nbc
"At the Desk of: Sergei Ivonin, Field Producer",nbc
First woman competes in NHL All-Star Skills Competition,nbc
What should you do when you catch someone in a lie?,nbc
Where the West Virginia governor is sleeping has landed him in court,nbc
America Ferrera and Jay Baruchel talk ‘How to Train Your Dragon’,nbc
"Jasmine doesn’t need Aladdin to see the world, little girl argues",nbc
Watch Mika go makeup-free to camera ready in minutes,nbc
Washington Gov. Inslee enters the presidential race with climate change his focus,nbc
"Richard Churchill, last of the real-life ‘Great Escape’ survivors, dies at 99",nbc
Wayfair just opened its first brick-and-mortar store — here's everything we know!,nbc
'Real Housewives' star Lisa Rinna looks almost unrecognizable with new 'do,nbc
"Trump rants for more than two hours. TRANSCRIPT: 3/4/19, The Last Word w/ Lawrence O'Donnell.",nbc
Denver teachers vote to go on strike over pay,nbc
Is the college admissions process broken?,nbc
Michigan family of five killed in fiery wrong-way crash in Kentucky,nbc
"If you want to get rich, you have to change your mindset",nbc
Everyone's buzzing about natural wine. What is it? And is it better for you?,nbc
"Detained immigrants sue over conditions, medical care",nbc
Wisconsin high school students find hidden cameras in hotel rooms on class trip,nbc
More than 30 dead in suspected arson at Kyoto animation studio,nbc
Jennifer Aniston opens up about her plane’s terrifying emergency landing,nbc
Kate Middleton and Meghan Markle join the crowd at Wimbledon ladies' final,nbc
"Tailspin: JetSmarter tried to be the Uber of private jets, now it faces lawsuits, losses and security questions",nbc
Ryan on Trump: 'He didn't know anything about government',nbc
The Warren-Sanders wing comes up short,nbc
’63 Up’ documentary reveals what’s happened to children since 1964,nbc
"Katherine Helmond, beloved star of 'Who's the Boss?' and 'Soap,' dead at 89",nbc
U.S. soccer stars Tobin Heath and Christen Press reveal they’ve been a couple for 8 years,nbc
"Bloomberg vows to refuse donations, presidential salary",nbc
China's imports from U.S. plunge 31 percent in June amid tariff war,nbc
Oregon girl with cancer mandated to have surgery despite mom's opposition,nbc
4 migrant parents file lawsuit alleging Trump’s child separation policy traumatized them,nbc
FBI's 'lone wolf' report says domestic terrorists are rarely isolated,nbc
"Optimism can help you live longer, research shows. Here's why",nbc
Police probe alleged assault of lesbian couple on Long Island as possible hate crime,nbc
'American Idol' host who became Uber driver hits back after being job-shamed,nbc
"Democrats now have subpoena power. TRANSCRIPT: 1/24/19, The Rachel Maddow.",nbc
Young adult novels keep Asian myths like Mulan relevant with modern twists,nbc
Russell Dickerson performs ‘Blue Tacoma’ on TODAY,nbc
Kanye West sued by his record label for breach of contract,nbc
Roger Stone drops fight to be proclaimed innocent,nbc
Girl publishes study confirming suspicions: Hand dryers are too loud,nbc
"Opinion | Men like the El Paso shooter aren't ""lone wolves"" — they're never alone online",nbc
Sen. Warren raises $19.1M in the second quarter,nbc
"Over 3,000 verified reviewers love this $16 crossbody bag",nbc
Rudy Giuliani says he's afraid his epitaph will say he 'lied for Trump',nbc
Chicago police look to slow down crime as shootings spike,nbc
'Racist-in-chief': Prof. Dyson on Trump's 'go back' remark,nbc
"HUD official tours public housing, gets stuck in elevator",nbc
Ex-police officer convicted in fatal shooting of black motorist,nbc
10 must-see Latino art shows in 2019,nbc
Puppy struggling to jump over gate is upstaged by bigger dog,nbc
Opinion | White parents are enabling the return of school segregation,nbc
Man charged with 4 counts of murder in Los Angeles-area shooting spree,nbc
Jennifer Aniston breaks the internet after joining Instagram,nbc
5 credit card trends to watch in 2019,nbc
Reese’s White Peanut Butter Cups don’t contain white chocolate so people are suing,nbc
Lara Spencer apologizes for mocking Prince George's interest in ballet on 'GMA',nbc
William Friedkin on ‘The French Connection’ at 50: ‘They wanted to fire me every day’,nbc
The GOP would like Steve King to kindly shut up,nbc
Trump eyes 'retribution' against comedy shows that hurt his feelings,nbc
Democrats face a dilemma on impeachment,nbc
The forgotten Spanish soldiers behind France's liberation from Nazi Germany,nbc
Missing Kentucky mother Savannah Spurlock: Arrest made after remains found at home,nbc
Meet the 86-year-old soaring to great heights as the world’s oldest trapeze artist,nbc
Mila Kunis’ best moments on TODAY,nbc
"Highway patrol officer, suspect die after gunbattle near Southern California freeway",nbc
Opinion | Stop ruining the Popeyes chicken sandwiches with your racist stereotypes,nbc
"Opinion | Even Cate Blanchett can't save 'Where’d You Go, Bernadette' from its fatal flaw",nbc
Ferrari's new CEO is an electronics pioneer with a degree in subnuclear physics,nbc
Say 'I love you' with Chick-fil-A's heart-shaped chicken nugget box,nbc
Can Detroit’s abandoned communities rise from ruin?,nbc
Fraternity suspended after college student found dead,nbc
"Utah girl, 6, dies after being struck by golf ball hit by her father",nbc
"Morning people really are happier, study finds",nbc
"Opinion | Kamala Harris, Jill Biden and the resilient tenacity of America's stepmoms",nbc
"Forever 21 accused of fat-shaming after mailing diet bars with orders, including plus-size orders",nbc
Grimes says she is debating getting a face tattoo,nbc
"""Santa came today"": Favre texts show his role in Mississippi welfare scandal",nbc
‘Pro-lesbian’ or ‘trans-exclusionary’? Old animosities boil into public view,nbc
McConnell says he will be 'the grim reaper' to Democrats' legislation,nbc
Trump calls Danish PM 'nasty' for her comments on Greenland sale,nbc
"After officiating gay wedding, Republican congressman gets 'no confidence' vote from local GOP",nbc
'It seems like an execution': 6 officers open fire on man asleep in car,nbc
No arrests 27 years after mother of two Vikki Vukelich vanished from Illinois,nbc
Watch: Very dapper dog fills role of best ring bearer ever,nbc
NYC LGBTQ Pride March canceled for first time in half-century,nbc
Former GOP congressman Joe Walsh announces he's running for president,nbc
Milo Ventimiglia reveals he was told he was too old to play Batman,nbc
"Hailey Bieber is barely recognizable with a short, black bob — see the pic!",nbc
"Opinion | Starbucks' pumpkin spice latte is back, as is every processed pumpkin atrocity",nbc
Frozen food recipes: Make shrimp tacos and blueberry cobbler,nbc
The insurance industry and the rise in ransomware attacks,nbc
Brother of American arrested in Russia on spy charges says he was there for a wedding,nbc
Dane Cook is engaged to girlfriend Kelsi Taylor,nbc
Palestinian Harvard student who had been denied entry to U.S. is admitted,nbc
Opinion | NFL fans treated Andrew Luck like a gladiator to be sacrificed for their amusement,nbc
Looking back at Kamala Harris’ campaign after she drops out,nbc
"Pastor and family stole $8M in Covid scam, feds say. Why no charges?",nbc
Charles Van Doren speaks out about quiz show scandal,nbc
Timeline of the R. Kelly allegations,nbc
"46-year-old gymnast competes in 8th Olympics, proves age is just a number",nbc
How to prevent and treat hair loss,nbc
"Video shows runaway tire on highway bouncing over barrier, crashing into Jeep",nbc
Opinion | You can't kill punk rock,nbc
New evidence ties Donald Trump to illegal hush money scheme,nbc
Melissa Mark-Viverito wants to replace outgoing Rep. José Serrano in Congress,nbc
Here's the purpose behind the little circle in your Glad To Go container lid,nbc
Kate Middleton just rocked her favorite winter accessory,nbc
"Hacker accessed ‘Ring’ camera inside little girl’s room, her family says",nbc
"Trump on gun control, ‘free the nipple’ campaign, Simone Biles speaks out",nbc
Millions use Earnin to get cash before payday. Critics say they’re being taken advantage of.,nbc
Tuesday’s special election in North Carolina could reveal clues about 2020,nbc
Rep. John Lewis: Trump is sowing the seeds of racism in America,nbc
DATELINE FRIDAY PREVIEW: The Vanishing of Kelsey Berreth,nbc
Married lesbian couple turned away by Indiana tax preparer,nbc
"Jeffrey Epstein died by suicide in Manhattan jail cell, autopsy report says",nbc
"TODAY celebrates milestone birthdays, anniversaries: July 26, 2019",nbc
George W. Bush shares sweet photos with 1st grandson,nbc
Opinion | The killer robots are coming. Here's our best shot at stopping them.,nbc
Prankster Michael Carbonaro shares mind-blowing trick with Hoda and Andy,nbc
"'Top Chef' alums rally, reunite to be with terminally ill Fatima Ali",nbc
"Rep. Engel on USMCA: Better than most, but not 'good enough'",nbc
Dad's chilling beach photos capture shark lurking near his kids,nbc
Maria Shriver on how journaling could change your life,nbc
"Beyoncé to release visual album 'Black is King,' based on 'Lion King' music, on Disney Plus",nbc
5 lifestyle behaviors that may prevent Alzheimer’s,nbc
Michelle Williams has a blunt bob now — see her new look!,nbc
"Cory Booker on criminal justice reform. TRANSCRIPT: 2/12/19, The Rachel Maddow Show.",nbc
6 Instagram-favorite beauty products that actually work,nbc
Lawmakers blast Trump plan to use Puerto Rico funds for his border wall,nbc
Why the diet I hated as a teenager became the lifestyle I love as an adult,nbc
Gun control advocate: Americans should not feel hopeless,nbc
Meet 2 best friends running their businesses under the same roof,nbc
Pennsylvania Senate race emerges as a test of progressive firepower,nbc
Supreme Court rules Virginia legislators cannot appeal redistricting ruling,nbc
Federal court strikes down Trump administration's Medicaid work requirements,nbc
"George Tyndall, ex-USC gynecologist charged with sexually assaulting students, dies before trial",nbc
"'I really love weed': Seth Rogen brings his cannabis company, Houseplant, to U.S.",nbc
Ben Affleck did J.Lo's 10-day challenge — and this is how he ended it!,nbc
Former Los Angeles Angels executive sentenced to 22 years in Tyler Skaggs’ overdose death,nbc
Sarah Michelle Gellar celebrates 'Buffy' anniversary with 'grateful' note to fans,nbc
Geena Davis shares fight for gender equality in Hollywood,nbc
Delta plane makes emergency landing after engine failure,nbc
7 must-have products to make getting ready in the morning easier,nbc
"Sophia Nelson on whether Cohen committed perjury: “This is really a ‘he said, he said’”",nbc
"Mika, Yasmin Vossoughian on body confidence: Be authentically yourself",nbc
Rescue animals dress up as aliens — and it’s clearing these shelters,nbc
"Warren Buffett wants to make an 'elephant-sized' purchase, but says 'prices are sky-high'",nbc
